iter	Passed	Remaining
0	2	290
1	8	400
2	10	335
3	11	269
4	12	232
5	13	213
6	14	195
7	18	208
8	19	197
9	20	187
10	22	180
11	23	174
12	25	169
13	26	160
14	27	158
15	29	154
16	30	151
17	33	150
18	34	148
19	36	146
20	38	145
21	40	143
22	41	138
23	42	136
24	44	132
25	45	130
26	47	127
27	49	126
28	50	124
29	52	122
30	54	120
31	56	120
32	58	117
33	60	116
34	60	113
35	62	111
36	63	108
37	65	107
38	66	104
39	67	101
40	69	99
41	70	97
42	72	95
43	73	93
44	74	91
45	76	90
46	79	89
47	80	87
48	82	86
49	84	84
50	86	82
51	88	81
52	89	79
53	91	78
54	93	76
55	95	74
56	97	73
57	98	71
58	99	69
59	101	67
60	103	65
61	105	64
62	107	62
63	108	61
64	111	59
65	112	57
66	114	56
67	116	54
68	118	53
69	120	51
70	121	49
71	123	47
72	125	46
73	127	44
74	128	42
75	130	41
76	132	39
77	135	38
78	137	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	26
85	149	24
86	151	22
87	153	20
88	154	19
89	156	17
90	158	15
91	159	13
92	161	12
93	163	10
94	164	8
95	166	6
96	168	5
97	170	3
98	171	1
99	173	0
