iter	Logloss
0	0.6879580859
1	0.6831877265
2	0.6781101114
3	0.6732671092
4	0.6687266351
5	0.6640935505
6	0.6594032769
7	0.6550764929
8	0.6511045929
9	0.647281731
10	0.6433337774
11	0.6394490845
12	0.6356417474
13	0.6317655971
14	0.6280938263
15	0.6244480215
16	0.6208867745
17	0.6174879626
18	0.6142133559
19	0.6110536996
20	0.6079390381
21	0.6047580894
22	0.6018534608
23	0.5987624695
24	0.5959810555
25	0.5930250345
26	0.590176866
27	0.5874914907
28	0.5849510666
29	0.5825290198
30	0.5798595841
31	0.5774217376
32	0.5749833852
33	0.5727073121
34	0.5706684701
35	0.568493919
36	0.5662916295
37	0.5640899947
38	0.5620686454
39	0.5599423057
40	0.557903303
41	0.5555791526
42	0.5534458297
43	0.5511805159
44	0.5491517834
45	0.5469820609
46	0.544843563
47	0.5429062697
48	0.5408630418
49	0.53891779
50	0.5369437907
51	0.5350955689
52	0.5333129115
53	0.5314446455
54	0.5298360354
55	0.5282974638
56	0.5265816988
57	0.5249261294
58	0.5234148154
59	0.521781205
60	0.5200703599
61	0.518539201
62	0.516963517
63	0.5155491695
64	0.5140229055
65	0.5126552004
66	0.5111473419
67	0.5099240663
68	0.5086994437
69	0.5075711745
