iter	Passed	Remaining
0	1	118
1	3	121
2	4	110
3	6	100
4	7	97
5	8	94
6	9	89
7	11	86
8	12	83
9	13	82
10	14	79
11	15	76
12	17	74
13	18	72
14	19	73
15	21	71
16	22	69
17	23	67
18	24	65
19	25	63
20	26	61
21	27	59
22	28	58
23	29	56
24	30	54
25	31	53
26	33	52
27	34	51
28	35	50
29	36	48
30	37	46
31	38	45
32	39	44
33	40	42
34	41	41
35	42	39
36	43	38
37	44	37
38	45	36
39	46	34
40	47	33
41	48	32
42	49	30
43	50	29
44	51	28
45	52	27
46	53	26
47	54	25
48	55	23
49	56	22
50	57	21
51	58	20
52	59	19
53	60	18
54	61	16
55	62	15
56	63	14
57	65	13
58	66	12
59	66	11
60	68	10
61	69	8
62	70	7
63	71	6
64	72	5
65	73	4
66	74	3
67	75	2
68	76	1
69	77	0
